cbsa_code,cbsa,date,year,active,population,state,census_region,activity
10140,"Aberdeen, WA",2022-10-01,2022,2022,1215089,Washington,Pacific,0.16640756356118772
10180,"Abilene, TX",2019-08-01,2019,4564,175187,Texas,West South Central,2.6052161404670438
10180,"Abilene, TX",2019-09-01,2019,4570,175187,Texas,West South Central,2.608641052132864
10180,"Abilene, TX",2019-10-01,2019,4554,175187,Texas,West South Central,2.599507954357344
10180,"Abilene, TX",2019-11-01,2019,4575,175187,Texas,West South Central,2.6114951451877135
10180,"Abilene, TX",2019-12-01,2019,4545,175187,Texas,West South Central,2.5943705868586138
10180,"Abilene, TX",2020-01-01,2020,4556,176809,Texas,West South Central,2.5767919053894315
10180,"Abilene, TX",2020-02-01,2020,4669,176809,Texas,West South Central,2.64070267916226
10180,"Abilene, TX",2020-03-01,2020,4684,176809,Texas,West South Central,2.649186410194051
10180,"Abilene, TX",2020-04-01,2020,4748,176809,Texas,West South Central,2.685383662596361
10180,"Abilene, TX",2020-05-01,2020,4835,176809,Texas,West South Central,2.734589302580751
10180,"Abilene, TX",2020-06-01,2020,4823,176809,Texas,West South Central,2.7278023177553177
10180,"Abilene, TX",2020-07-01,2020,5076,176809,Texas,West South Central,2.8708945811581987
10180,"Abilene, TX",2020-08-01,2020,5134,176809,Texas,West South Central,2.903698341147792
10180,"Abilene, TX",2020-09-01,2020,5138,176809,Texas,West South Central,2.9059606694229365
10180,"Abilene, TX",2020-10-01,2020,5088,176809,Texas,West South Central,2.8776815659836323
10180,"Abilene, TX",2020-11-01,2020,5069,176809,Texas,West South Central,2.8669355066766964
10180,"Abilene, TX",2020-12-01,2020,5064,176809,Texas,West South Central,2.864107596332766
10180,"Abilene, TX",2021-01-01,2021,5070,177314,Texas,West South Central,2.8593342883246673
10180,"Abilene, TX",2021-02-01,2021,5154,177314,Texas,West South Central,2.9067078741667323
10180,"Abilene, TX",2021-03-01,2021,5149,177314,Texas,West South Central,2.9038880178666093
10180,"Abilene, TX",2021-04-01,2021,5132,177314,Texas,West South Central,2.8943005064461915
10180,"Abilene, TX",2021-05-01,2021,5155,177314,Texas,West South Central,2.9072718454267568
10180,"Abilene, TX",2021-06-01,2021,5147,177314,Texas,West South Central,2.9027600753465603
10180,"Abilene, TX",2021-07-01,2021,5097,177314,Texas,West South Central,2.874561512345331
10180,"Abilene, TX",2021-08-01,2021,5168,177314,Texas,West South Central,2.9146034718070766
10180,"Abilene, TX",2021-09-01,2021,5138,177314,Texas,West South Central,2.897684334006339
10180,"Abilene, TX",2021-10-01,2021,5191,177314,Texas,West South Central,2.9275748107876423
10180,"Abilene, TX",2021-11-01,2021,5198,177314,Texas,West South Central,2.9315226096078146
10180,"Abilene, TX",2021-12-01,2021,5195,177314,Texas,West South Central,2.9298306958277407
10180,"Abilene, TX",2022-01-01,2022,5188,177314,Texas,West South Central,2.9258828970075683
10180,"Abilene, TX",2022-02-01,2022,5223,177314,Texas,West South Central,2.945621891108429
10180,"Abilene, TX",2022-03-01,2022,5255,177314,Texas,West South Central,2.963668971429216
10180,"Abilene, TX",2022-04-01,2022,5293,177314,Texas,West South Central,2.9850998793101504
10180,"Abilene, TX",2022-05-01,2022,5250,177314,Texas,West South Central,2.960849115129093
10180,"Abilene, TX",2022-06-01,2022,5252,177314,Texas,West South Central,2.961977057649142
10180,"Abilene, TX",2022-07-01,2022,5331,177314,Texas,West South Central,3.006530787191085
10180,"Abilene, TX",2022-08-01,2022,5302,177314,Texas,West South Central,2.9901756206503713
10180,"Abilene, TX",2022-09-01,2022,5325,177314,Texas,West South Central,3.003146959630937
10180,"Abilene, TX",2022-10-01,2022,5284,177314,Texas,West South Central,2.980024137969929
10220,"Ada, OK",2019-08-01,2019,1152,374975,Oklahoma,West South Central,0.30722048136542435
10220,"Ada, OK",2019-09-01,2019,1161,374975,Oklahoma,West South Central,0.30962064137609174
10220,"Ada, OK",2019-10-01,2019,1152,374975,Oklahoma,West South Central,0.30722048136542435
10220,"Ada, OK",2019-11-01,2019,1156,374975,Oklahoma,West South Central,0.3082872191479432
10220,"Ada, OK",2019-12-01,2019,1157,374975,Oklahoma,West South Central,0.30855390359357293
10220,"Ada, OK",2020-01-01,2020,1156,426638,Oklahoma,West South Central,0.2709557048364187
10220,"Ada, OK",2020-02-01,2020,1160,426638,Oklahoma,West South Central,0.27189326782893225
10220,"Ada, OK",2020-03-01,2020,1131,426638,Oklahoma,West South Central,0.2650959361332089
10220,"Ada, OK",2020-04-01,2020,1159,426638,Oklahoma,West South Central,0.2716588770808039
10220,"Ada, OK",2020-05-01,2020,1162,426638,Oklahoma,West South Central,0.27236204932518904
10220,"Ada, OK",2020-06-01,2020,1155,426638,Oklahoma,West South Central,0.2707213140882903
10220,"Ada, OK",2020-07-01,2020,1158,426638,Oklahoma,West South Central,0.27142448633267546
10220,"Ada, OK",2020-08-01,2020,1159,426638,Oklahoma,West South Central,0.2716588770808039
10220,"Ada, OK",2020-09-01,2020,1145,426638,Oklahoma,West South Central,0.26837740660700643
10220,"Ada, OK",2020-10-01,2020,1157,426638,Oklahoma,West South Central,0.2711900955845471
10220,"Ada, OK",2020-11-01,2020,1136,426638,Oklahoma,West South Central,0.26626788987385086
10220,"Ada, OK",2020-12-01,2020,1138,426638,Oklahoma,West South Central,0.2667366713701077
10220,"Ada, OK",2021-01-01,2021,1129,492538,Oklahoma,West South Central,0.22922089260118003
10220,"Ada, OK",2021-02-01,2021,1094,492538,Oklahoma,West South Central,0.2221148419005234
10220,"Ada, OK",2021-03-01,2021,1103,492538,Oklahoma,West South Central,0.22394211208069223
10220,"Ada, OK",2021-04-01,2021,1108,492538,Oklahoma,West South Central,0.22495726218078604
10220,"Ada, OK",2021-05-01,2021,1112,492538,Oklahoma,West South Central,0.22576938226086107
10220,"Ada, OK",2021-06-01,2021,1106,492538,Oklahoma,West South Central,0.22455120214074856
10220,"Ada, OK",2021-07-01,2021,1108,492538,Oklahoma,West South Central,0.22495726218078604
10220,"Ada, OK",2021-08-01,2021,1112,492538,Oklahoma,West South Central,0.22576938226086107
10220,"Ada, OK",2021-09-01,2021,1111,492538,Oklahoma,West South Central,0.22556635224084232
10220,"Ada, OK",2021-10-01,2021,1104,492538,Oklahoma,West South Central,0.22414514210071101
10220,"Ada, OK",2021-11-01,2021,1118,492538,Oklahoma,West South Central,0.22698756238097367
10220,"Ada, OK",2021-12-01,2021,1125,492538,Oklahoma,West South Central,0.22840877252110497
10220,"Ada, OK",2022-01-01,2022,1131,492538,Oklahoma,West South Central,0.22962695264121752
10220,"Ada, OK",2022-02-01,2022,1147,492538,Oklahoma,West South Central,0.2328754329615177
10220,"Ada, OK",2022-03-01,2022,1150,492538,Oklahoma,West South Central,0.23348452302157396
10220,"Ada, OK",2022-04-01,2022,1152,492538,Oklahoma,West South Central,0.2338905830616115
10220,"Ada, OK",2022-05-01,2022,1145,492538,Oklahoma,West South Central,0.23246937292148018
10220,"Ada, OK",2022-06-01,2022,1149,492538,Oklahoma,West South Central,0.23328149300155523
10220,"Ada, OK",2022-07-01,2022,1154,492538,Oklahoma,West South Central,0.234296643101649
10220,"Ada, OK",2022-08-01,2022,1161,492538,Oklahoma,West South Central,0.23571785324178032
10220,"Ada, OK",2022-09-01,2022,1082,492538,Oklahoma,West South Central,0.2196784816602983
10220,"Ada, OK",2022-10-01,2022,1086,492538,Oklahoma,West South Central,0.22049060174037333
10300,"Adrian, MI",2019-08-01,2019,2956,960054,Michigan,East North Central,0.3078993473283794
10300,"Adrian, MI",2019-09-01,2019,2989,960054,Michigan,East North Central,0.3113366539798803
10300,"Adrian, MI",2019-10-01,2019,3152,960054,Michigan,East North Central,0.3283148656221421
10300,"Adrian, MI",2019-11-01,2019,3146,960054,Michigan,East North Central,0.3276899007764147
10300,"Adrian, MI",2019-12-01,2019,3150,960054,Michigan,East North Central,0.3281065440068996
10300,"Adrian, MI",2020-01-01,2020,3175,1122389,Michigan,East North Central,0.2828787523755133
10300,"Adrian, MI",2020-02-01,2020,3130,1122389,Michigan,East North Central,0.27886944722373436
10300,"Adrian, MI",2020-03-01,2020,3103,1122389,Michigan,East North Central,0.276463864132667
10300,"Adrian, MI",2020-04-01,2020,3136,1122389,Michigan,East North Central,0.27940402124397157
10300,"Adrian, MI",2020-05-01,2020,3164,1122389,Michigan,East North Central,0.2818987000050785
10300,"Adrian, MI",2020-06-01,2020,3135,1122389,Michigan,East North Central,0.279314925573932
10300,"Adrian, MI",2020-07-01,2020,3126,1122389,Michigan,East North Central,0.2785130645435762
10300,"Adrian, MI",2020-08-01,2020,3129,1122389,Michigan,East North Central,0.27878035155369485
10300,"Adrian, MI",2020-09-01,2020,3110,1122389,Michigan,East North Central,0.27708753382294377
10300,"Adrian, MI",2020-10-01,2020,3084,1122389,Michigan,East North Central,0.2747710464019159
10300,"Adrian, MI",2020-11-01,2020,3094,1122389,Michigan,East North Central,0.27566200310231126
10300,"Adrian, MI",2020-12-01,2020,3087,1122389,Michigan,East North Central,0.2750383334120345
10300,"Adrian, MI",2021-01-01,2021,3050,1256583,Michigan,East North Central,0.24272173027965524
10300,"Adrian, MI",2021-02-01,2021,3231,1256583,Michigan,East North Central,0.25712587230608724
10300,"Adrian, MI",2021-03-01,2021,3274,1256583,Michigan,East North Central,0.26054785079855447
10300,"Adrian, MI",2021-04-01,2021,3356,1256583,Michigan,East North Central,0.2670734842027944
10300,"Adrian, MI",2021-05-01,2021,3341,1256583,Michigan,East North Central,0.26587977077518954
10300,"Adrian, MI",2021-06-01,2021,3343,1256583,Michigan,East North Central,0.26603893256553685
10300,"Adrian, MI",2021-07-01,2021,3363,1256583,Michigan,East North Central,0.26763055046901
10300,"Adrian, MI",2021-08-01,2021,3365,1256583,Michigan,East North Central,0.2677897122593573
10300,"Adrian, MI",2021-09-01,2021,3392,1256583,Michigan,East North Central,0.2699383964290461
10300,"Adrian, MI",2021-10-01,2021,3405,1256583,Michigan,East North Central,0.2709729480663036
10300,"Adrian, MI",2021-11-01,2021,3424,1256583,Michigan,East North Central,0.2724849850746031
10300,"Adrian, MI",2021-12-01,2021,3437,1256583,Michigan,East North Central,0.27351953671186063
10300,"Adrian, MI",2022-01-01,2022,3435,1256583,Michigan,East North Central,0.2733603749215133
10300,"Adrian, MI",2022-02-01,2022,3413,1256583,Michigan,East North Central,0.27160959522769285
10300,"Adrian, MI",2022-03-01,2022,3451,1256583,Michigan,East North Central,0.2746336692442919
10300,"Adrian, MI",2022-04-01,2022,3442,1256583,Michigan,East North Central,0.2739174411877289
10300,"Adrian, MI",2022-05-01,2022,3407,1256583,Michigan,East North Central,0.2711321098566509
10300,"Adrian, MI",2022-06-01,2022,3427,1256583,Michigan,East North Central,0.2727237277601241
10300,"Adrian, MI",2022-07-01,2022,3531,1256583,Michigan,East North Central,0.2810001408581844
10300,"Adrian, MI",2022-08-01,2022,3605,1256583,Michigan,East North Central,0.2868891271010351
10300,"Adrian, MI",2022-09-01,2022,3635,1256583,Michigan,East North Central,0.28927655395624485
10300,"Adrian, MI",2022-10-01,2022,3648,1256583,Michigan,East North Central,0.29031110559350237
10420,"Akron, OH",2019-08-01,2019,30148,703361,Ohio,East North Central,4.286276890529899
10420,"Akron, OH",2019-09-01,2019,29977,703361,Ohio,East North Central,4.261965050663884
10420,"Akron, OH",2019-10-01,2019,30045,703361,Ohio,East North Central,4.271632916809433
10420,"Akron, OH",2019-11-01,2019,30127,703361,Ohio,East North Central,4.28329122598495
10420,"Akron, OH",2019-12-01,2019,30061,703361,Ohio,East North Central,4.273907708843681
10420,"Akron, OH",2020-01-01,2020,30014,701305,Ohio,East North Central,4.279735635707716
10420,"Akron, OH",2020-02-01,2020,29575,701305,Ohio,East North Central,4.217138049778627
10420,"Akron, OH",2020-03-01,2020,29801,701305,Ohio,East North Central,4.249363686270596
10420,"Akron, OH",2020-04-01,2020,30181,701305,Ohio,East North Central,4.3035483847969145
10420,"Akron, OH",2020-05-01,2020,30283,701305,Ohio,East North Central,4.318092698611873
10420,"Akron, OH",2020-06-01,2020,30436,701305,Ohio,East North Central,4.339909169334312
10420,"Akron, OH",2020-07-01,2020,30603,701305,Ohio,East North Central,4.3637219184235105
10420,"Akron, OH",2020-08-01,2020,30720,701305,Ohio,East North Central,4.38040510191714
10420,"Akron, OH",2020-09-01,2020,30837,701305,Ohio,East North Central,4.39708828541077
10420,"Akron, OH",2020-10-01,2020,30866,701305,Ohio,East North Central,4.4012234334562
10420,"Akron, OH",2020-11-01,2020,30795,701305,Ohio,East North Central,4.3910994503104925
10420,"Akron, OH",2020-12-01,2020,30644,701305,Ohio,East North Central,4.369568162211877
10420,"Akron, OH",2021-01-01,2021,30530,700015,Ohio,East North Central,4.361335114247552
10420,"Akron, OH",2021-02-01,2021,30119,700015,Ohio,East North Central,4.3026220866695715
10420,"Akron, OH",2021-03-01,2021,30484,700015,Ohio,East North Central,4.354763826489432
10420,"Akron, OH",2021-04-01,2021,30775,700015,Ohio,East North Central,4.396334364263623
10420,"Akron, OH",2021-05-01,2021,31981,700015,Ohio,East North Central,4.568616386791711
10420,"Akron, OH",2021-06-01,2021,32794,700015,Ohio,East North Central,4.684756755212388
10420,"Akron, OH",2021-07-01,2021,34095,700015,Ohio,East North Central,4.87060991550181
10420,"Akron, OH",2021-08-01,2021,34498,700015,Ohio,East North Central,4.928180110426205
10420,"Akron, OH",2021-09-01,2021,35022,700015,Ohio,East North Central,5.003035649236088
10420,"Akron, OH",2021-10-01,2021,35271,700015,Ohio,East North Central,5.038606315578952
10420,"Akron, OH",2021-11-01,2021,35806,700015,Ohio,East North Central,5.1150332492875155
10420,"Akron, OH",2021-12-01,2021,37109,700015,Ohio,East North Central,5.301172117740334
10420,"Akron, OH",2022-01-01,2022,37409,700015,Ohio,East North Central,5.344028342249809
10420,"Akron, OH",2022-02-01,2022,37462,700015,Ohio,East North Central,5.351599608579816
10420,"Akron, OH",2022-03-01,2022,37901,700015,Ohio,East North Central,5.414312550445348
10420,"Akron, OH",2022-04-01,2022,37935,700015,Ohio,East North Central,5.419169589223087
10420,"Akron, OH",2022-05-01,2022,37708,700015,Ohio,East North Central,5.386741712677585
10420,"Akron, OH",2022-06-01,2022,37755,700015,Ohio,East North Central,5.393455854517403
10420,"Akron, OH",2022-07-01,2022,38159,700015,Ohio,East North Central,5.451168903523495
10420,"Akron, OH",2022-08-01,2022,38088,700015,Ohio,East North Central,5.44102626372292
10420,"Akron, OH",2022-09-01,2022,38243,700015,Ohio,East North Central,5.463168646386149
10420,"Akron, OH",2022-10-01,2022,38186,700015,Ohio,East North Central,5.455025963729349
10460,"Alamogordo, NM",2019-08-01,2019,1275,593764,New Mexico,Mountain,0.21473177895594883
10460,"Alamogordo, NM",2019-09-01,2019,1255,593764,New Mexico,Mountain,0.21136343732526727
10460,"Alamogordo, NM",2019-10-01,2019,1237,593764,New Mexico,Mountain,0.20833192985765386
10460,"Alamogordo, NM",2019-11-01,2019,1247,593764,New Mexico,Mountain,0.21001610067299467
10460,"Alamogordo, NM",2019-12-01,2019,1248,593764,New Mexico,Mountain,0.21018451775452873
10460,"Alamogordo, NM",2020-01-01,2020,1225,716957,New Mexico,Mountain,0.1708610139799179
10460,"Alamogordo, NM",2020-02-01,2020,1152,716957,New Mexico,Mountain,0.1606790923305024
10460,"Alamogordo, NM",2020-03-01,2020,1136,716957,New Mexico,Mountain,0.1584474382703565
10460,"Alamogordo, NM",2020-04-01,2020,1117,716957,New Mexico,Mountain,0.1557973490739333
10460,"Alamogordo, NM",2020-05-01,2020,1113,716957,New Mexico,Mountain,0.15523943555889683
10460,"Alamogordo, NM",2020-06-01,2020,1113,716957,New Mexico,Mountain,0.15523943555889683
10460,"Alamogordo, NM",2020-07-01,2020,1125,716957,New Mexico,Mountain,0.15691317610400624
10460,"Alamogordo, NM",2020-08-01,2020,1128,716957,New Mexico,Mountain,0.15733161124028358
10460,"Alamogordo, NM",2020-09-01,2020,1104,716957,New Mexico,Mountain,0.1539841301500648
10460,"Alamogordo, NM",2020-10-01,2020,1107,716957,New Mexico,Mountain,0.15440256528634214
10460,"Alamogordo, NM",2020-11-01,2020,1092,716957,New Mexico,Mountain,0.15231038960495538
10460,"Alamogordo, NM",2020-12-01,2020,1081,716957,New Mexico,Mountain,0.1507761274386051
10460,"Alamogordo, NM",2021-01-01,2021,1072,821254,New Mexico,Mountain,0.13053208873259672
10460,"Alamogordo, NM",2021-02-01,2021,1059,821254,New Mexico,Mountain,0.1289491436266977
10460,"Alamogordo, NM",2021-03-01,2021,1072,821254,New Mexico,Mountain,0.13053208873259672
10460,"Alamogordo, NM",2021-04-01,2021,1077,821254,New Mexico,Mountain,0.13114091377332712
10460,"Alamogordo, NM",2021-05-01,2021,1060,821254,New Mexico,Mountain,0.12907090863484377
10460,"Alamogordo, NM",2021-06-01,2021,1060,821254,New Mexico,Mountain,0.12907090863484377
10460,"Alamogordo, NM",2021-07-01,2021,1054,821254,New Mexico,Mountain,0.1283403185859673
10460,"Alamogordo, NM",2021-08-01,2021,1054,821254,New Mexico,Mountain,0.1283403185859673
10460,"Alamogordo, NM",2021-09-01,2021,1047,821254,New Mexico,Mountain,0.12748796352894476
10460,"Alamogordo, NM",2021-10-01,2021,1042,821254,New Mexico,Mountain,0.1268791384882144
10460,"Alamogordo, NM",2021-11-01,2021,1048,821254,New Mexico,Mountain,0.12760972853709085
10460,"Alamogordo, NM",2021-12-01,2021,1037,821254,New Mexico,Mountain,0.12627031344748396
10460,"Alamogordo, NM",2022-01-01,2022,1039,821254,New Mexico,Mountain,0.12651384346377612
10460,"Alamogordo, NM",2022-02-01,2022,1032,821254,New Mexico,Mountain,0.1256614884067536
10460,"Alamogordo, NM",2022-03-01,2022,1025,821254,New Mexico,Mountain,0.12480913334973102
10460,"Alamogordo, NM",2022-04-01,2022,1023,821254,New Mexico,Mountain,0.12456560333343886
10460,"Alamogordo, NM",2022-05-01,2022,1015,821254,New Mexico,Mountain,0.12359148326827024
10460,"Alamogordo, NM",2022-06-01,2022,1067,821254,New Mexico,Mountain,0.12992326369186635
10460,"Alamogordo, NM",2022-07-01,2022,1082,821254,New Mexico,Mountain,0.13174973881405752
10460,"Alamogordo, NM",2022-08-01,2022,1076,821254,New Mexico,Mountain,0.13101914876518106
10460,"Alamogordo, NM",2022-09-01,2022,1085,821254,New Mexico,Mountain,0.13211503383849577
10460,"Alamogordo, NM",2022-10-01,2022,1093,821254,New Mexico,Mountain,0.13308915390366438
10500,"Albany, GA",2019-08-01,2019,2733,149530,Georgia,South Atlantic,1.8277268775496556
10500,"Albany, GA",2019-09-01,2019,2699,149530,Georgia,South Atlantic,1.8049889654249984
10500,"Albany, GA",2019-10-01,2019,2696,149530,Georgia,South Atlantic,1.802982679061058
10500,"Albany, GA",2019-11-01,2019,2712,149530,Georgia,South Atlantic,1.8136828730020733
10500,"Albany, GA",2019-12-01,2019,2715,149530,Georgia,South Atlantic,1.8156891593660136
10500,"Albany, GA",2020-01-01,2020,2723,148417,Georgia,South Atlantic,1.8346954863661173
10500,"Albany, GA",2020-02-01,2020,2720,148417,Georgia,South Atlantic,1.8326741545779797
10500,"Albany, GA",2020-03-01,2020,2679,148417,Georgia,South Atlantic,1.8050492868067676
10500,"Albany, GA",2020-04-01,2020,2745,148417,Georgia,South Atlantic,1.849518586145792
10500,"Albany, GA",2020-05-01,2020,2772,148417,Georgia,South Atlantic,1.8677105722390293
10500,"Albany, GA",2020-06-01,2020,2814,148417,Georgia,South Atlantic,1.8960092172729541
10500,"Albany, GA",2020-07-01,2020,2856,148417,Georgia,South Atlantic,1.9243078623068783
10500,"Albany, GA",2020-08-01,2020,2992,148417,Georgia,South Atlantic,2.0159415700357775
10500,"Albany, GA",2020-09-01,2020,3037,148417,Georgia,South Atlantic,2.04626154685784
10500,"Albany, GA",2020-10-01,2020,3027,148417,Georgia,South Atlantic,2.0395237742307146
10500,"Albany, GA",2020-11-01,2020,3003,148417,Georgia,South Atlantic,2.023353119925615
10500,"Albany, GA",2020-12-01,2020,2978,148417,Georgia,South Atlantic,2.0065086883578025
10500,"Albany, GA",2021-01-01,2021,2916,147773,Georgia,South Atlantic,1.9732968810269806
